cloud
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4b 4a 8c | Cs 0.25 N 0.25 O 0.5
1 2 a D D O c O O O 0 | 4i | Ba 0.67 Li 0.33
1 4 a D D D b O O O g O O O c O O O 0 | 4e | Tm 0.33 U 0.33 Tc 0.33
0 3 n O O O i O O O k O O O 0 | 1b 1c 1f | Pa 0.33 Te 0.33 Cl 0.33
1 3 a E C C n O O O e O O O 0 | 6c 18h 3a | Nb 0.31 Co 0.46 Si 0.08 W 0.15
1 2 a D D O c O O O 0 | 4i | Fe 0.5 H 0.33 Rh 0.17
1 3 a E C C n O O O e O O O 0 | 6c 3a 3b | Nd 0.5 Ga 0.25 Ge 0.25
1 3 b O O O g O O O c O O O 0 | 2f 1b 1d | Ce 0.5 Pu 0.25 Pd 0.25
1 4 b O O O c O O O d O O O e D D D 0 | 2a 6d | Mn 0.25 Rh 0.75
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4c 4b 4a 4d | Li 0.25 Hf 0.25 Tl 0.25 Tc 0.25
1 2 a D D O c O O D 0 | 4e 8f | Zn 0.11 Co 0.22 Br 0.67
1 0 0 | 1a 2i | Pu 0.2 S 0.8
1 3 b O O O g O O O c O O O 0 | 1d 1a 2f 1b | Li 0.2 Mn 0.2 V 0.4 C 0.2
1 2 b O O O c O O O 0 | 2q 2t 1e 1g 1b 1d | U 0.25 Os 0.38 Ru 0.38
0 5 a D D D b O O O c O O O d O O O l O O O 0 | 8c | Cu 0.5 Os 0.5
1 4 a D D D b O O O g O O O c O O D 0 | 16l 4c 8h 4a | Ca 0.62 Ga 0.25 Pd 0.12
1 3 n O O O b O O D e O O O 0 | 6h 2d | Gd 0.75 V 0.25
1 2 a D D O c O O O 0 | 4i 2b 2d | Er 0.5 Ga 0.08 P 0.17 S 0.25
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4b 4a 4d 4c | Ho 0.25 Nb 0.25 Cu 0.25 Ru 0.25
1 3 a D D D b O O O g O O O 0 | 2b 4d 8h | Er 0.14 Si 0.29 S 0.57
0 3 a D D D b O O O j O O O 0 | 2a 2b | Li 0.25 Bi 0.5 Au 0.25
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 4b 4a 8c 24e | Ta 0.1 Ga 0.1 Pb 0.2 O 0.6
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4c 4d 4b 4a | Lu 0.25 Ga 0.25 Fe 0.25 Au 0.25
0 1 c O D O 0 | 2a | K 0.25 V 0.12 H 0.12 O 0.5
1 0 0 | 2i 1e | Ac 0.18 Sm 0.45 Ho 0.36
0 6 a O D D a D O D b O O O c O O O d O O O l O O O 0 | 4d 4c 4b 4a | Ca 0.25 Ga 0.25 Fe 0.25 Os 0.25
0 3 n O O O i O O O e O O O 0 | 2c 3f 3g | Sm 0.18 Fe 0.55 Si 0.27
1 3 b O O O g O O O c O O O 0 | 1a 1b 2f 1d | Os 0.2 I 0.2 N 0.4 Cl 0.2
0 3 a D D O b O O O j O O O 0 | 4e 2a 2b | Zn 0.43 In 0.14 P 0.43
1 3 b O O O g O O O c O O O 0 | 2f 1d 1b 1a | Mg 0.4 Tl 0.2 Ge 0.2 Rh 0.2
1 3 a D D D b O O O c O O O 0 | 8l 4i 2d 4h 4j | Pm 0.36 Ho 0.27 Zn 0.36
1 4 b O O O c O O O d O O O e O O O 0 | 3d 1a 1b | Zr 0.6 Co 0.2 Pt 0.2
